DateOfCrash,LocationCity,LocationLatitude,LocationLongitude,WeatherCondition1,FirstHarmfulEvent,MostHarmfulEvent,RoadFeature,TrafficControlType,Crash_Date_Hour,Crash_Date_DOW,Crash_Date_Month,Crash_Date_Year,killed,type_a_injury,type_b_injury,type_c_injury,no_injury
2016-10-31 20:04:52,Raleigh,76.14812758651460,-73.31915517647840,Clouds,No Crash,None,Urban Road,Normal Flow,20,Monday,October,2016,0,0,0,0,1
2017-06-15 17:19:52,Raleigh,4.346203444814790,-31.640082438698400,Clouds,No Crash,None,Urban Road,Normal Flow,17,Thursday,June,2017,0,0,0,0,1
2017-03-11 09:16:08,Raleigh,17.947217498116800,-31.69349075604280,Rain,No Crash,None,Urban Road,Normal Flow,9,Saturday,March,2017,0,0,0,0,1
2017-04-10 00:31:59,Raleigh,47.441419180653400,-13.049021837364900,Clouds,No Crash,None,Urban Road,Normal Flow,0,Monday,April,2017,0,0,0,0,1
2017-08-17 21:42:24,Raleigh,49.31796348864480,-40.20604416404720,Clouds,No Crash,None,Urban Road,Normal Flow,21,Thursday,August,2017,0,0,0,0,1
2016-06-05 19:49:42,Raleigh,17.39755152576890,-64.47918423743780,Clouds,No Crash,None,Urban Road,Normal Flow,19,Sunday,June,2016,0,0,0,0,1
2016-06-24 14:20:01,Raleigh,3.3869314427265800,-49.235683106530800,Clear,No Crash,None,Urban Road,Normal Flow,14,Friday,June,2016,0,0,0,0,1
2015-06-05 11:50:16,Raleigh,51.42769496107120,-61.739802547188900,Clouds,No Crash,None,Urban Road,Normal Flow,11,Friday,June,2015,0,0,0,0,1
2016-09-22 02:10:20,Raleigh,28.731879928218300,-28.615614033269100,Clear,No Crash,None,Urban Road,Normal Flow,2,Thursday,September,2016,0,0,0,0,1
2017-07-25 07:46:04,Raleigh,36.04786947948980,-47.781274231141700,Rain,No Crash,None,Urban Road,Normal Flow,7,Tuesday,July,2017,0,0,0,0,1
2016-12-15 05:07:59,Raleigh,63.25687397440210,-51.84164108806910,Clear,No Crash,None,Urban Road,Normal Flow,5,Thursday,December,2016,0,0,0,0,1
2015-03-16 02:20:08,Raleigh,45.78202815829590,-22.374373134033600,Clouds,No Crash,None,Urban Road,Normal Flow,2,Monday,March,2015,0,0,0,0,1
2016-05-15 04:15:00,Raleigh,8.119441927786900,-71.38233429881320,Clouds,No Crash,None,Urban Road,Normal Flow,4,Sunday,May,2016,0,0,0,0,1
2016-08-10 04:06:00,Raleigh,44.89966379634390,-4.187716318681150,Clouds,No Crash,None,Urban Road,Normal Flow,4,Wednesday,August,2016,0,0,0,0,1
2015-12-16 19:59:29,Raleigh,51.65067786053130,-37.65278470164630,Clouds,No Crash,None,Urban Road,Normal Flow,19,Wednesday,December,2015,0,0,0,0,1
2017-06-19 16:07:50,Raleigh,12.285278185050200,-71.11239039501270,Clouds,No Crash,None,Urban Road,Normal Flow,16,Monday,June,2017,0,0,0,0,1
2016-07-28 02:34:23,Raleigh,69.31980493636670,-56.546796996326100,Clouds,No Crash,None,Urban Road,Normal Flow,2,Thursday,July,2016,0,0,0,0,1
2015-11-12 07:06:03,Raleigh,51.234306681569200,-0.4151838706705750,Clear,No Crash,None,Urban Road,Normal Flow,7,Thursday,November,2015,0,0,0,0,1
2017-06-15 17:19:24,Raleigh,64.56504956763040,-8.182693616814080,Clouds,No Crash,None,Urban Road,Normal Flow,17,Thursday,June,2017,0,0,0,0,1
2016-10-01 13:15:27,Raleigh,50.81158662469910,-16.51781140500230,Rain,No Crash,None,Urban Road,Normal Flow,13,Saturday,October,2016,0,0,0,0,1
2017-02-21 06:38:57,Raleigh,25.34902938600000,-72.52141093112780,Clear,No Crash,None,Urban Road,Normal Flow,6,Tuesday,February,2017,0,0,0,0,1
2016-03-01 05:49:10,Raleigh,70.80231128209410,-47.56456830726050,Clouds,No Crash,None,Urban Road,Normal Flow,5,Tuesday,March,2016,0,0,0,0,1
2017-06-24 00:16:36,Raleigh,32.60129804743150,-44.80917738951970,Rain,No Crash,None,Urban Road,Normal Flow,0,Saturday,June,2017,0,0,0,0,1
2015-06-07 07:45:55,Raleigh,73.98640416881160,-76.61688494690420,Clouds,No Crash,None,Urban Road,Normal Flow,7,Sunday,June,2015,0,0,0,0,1
2017-04-22 04:20:50,Raleigh,17.15247297464750,-66.25314230115290,Clouds,No Crash,None,Urban Road,Normal Flow,4,Saturday,April,2017,0,0,0,0,1
